COD_DANE,NOMBRE_MUNI,POB_TOTAL,POB_15_19,POB_15_24,PCT_MUJERES_15_24,PCT_RURAL,N_MATRIC_VIVE,PCT_MUJERES_MATRIC,N_MATRIC_NACE,N_BENEF,PCT_VICTIMAS_BENEF,PROM_GLOBAL_SABER,PROM_MATEMATICAS_SABER,PROM_LECTURA_SABER,N_EVALUADOS,EVALUADOS_POR_PERIODO,BRECHA_OFICIAL_SABER,BRECHA_GENERO_SABER,NOM_MPIO,longitud,latitud,TASA_MATRIC_VIVE,TASA_MATRIC_NACE,TASA_BENEF,BRECHA_GENERO_MATRIC
05308,GIRARDOTA,49045,3917,8296,49.337029893924786,42.57722499745132,2,50.0,2,20,5.0,253.7295008912656,51.4041889483066,54.1626559714795,2244,748.0,32.34922637403713,-4.023771960360364,GIRARDOTA,-75.444238,6.379472,0.2410800385728062,0.2410800385728062,5.105948429920858,0.662970106075214
05310,GOMEZ PLATA,8235,658,1187,47.09351305812974,48.24529447480267,0,,1,180,8.88888888888889,239.9112426035503,49.680473372781066,50.66863905325444,338,169.0,,-13.946453602467074,GOMEZ PLATA,-75.220018,6.683269,0.0,0.8424599831508003,273.5562310030395,
05313,GRANADA,9204,822,1528,50.19633507853403,41.97088222511952,8,37.5,5,0,,241.12328767123287,51.35159817351598,51.1324200913242,438,219.0,,-17.137291280148418,GRANADA,-75.184446,6.142892,5.235602094240838,3.2722513089005236,0.0,-12.696335078534027
05315,GUADALUPE,5452,531,973,49.743062692702985,61.04181951577403,1,100.0,4,141,6.382978723404255,236.5874125874126,48.0,49.67832167832168,286,143.0,,-17.03913894324853,GUADALUPE,-75.239862,6.815069,1.027749229188078,4.110996916752312,265.5367231638418,50.256937307297015
05318,GUARNE,42500,3343,7276,48.08960967564596,59.06823529411764,96,56.25,23,52,1.9230769230769231,259.4213615023474,53.313380281690144,54.524647887323944,1704,852.0,-29.89019369435232,-7.064710042432807,GUARNE,-75.441612,6.27787,13.194062671797692,3.1610775151181967,15.554890816631767,8.16039032435404
05321,GUATAPE,7038,543,1153,48.82914137033825,25.703324808184142,13,53.84615384615385,7,189,25.396825396825395,248.30701754385964,51.17982456140351,52.771929824561404,456,228.0,,2.873332819366283,GUATAPE,-75.160041,6.232461,11.274934952298352,6.071118820468344,348.0662983425414,5.017012475815598
05347,HELICONIA,4709,369,693,45.310245310245314,55.82926311318751,0,,1,75,9.333333333333334,226.6043956043956,45.61538461538461,48.45054945054945,182,91.0,,-14.102898550724632,HELICONIA,-75.734322,6.206757,0.0,1.443001443001443,203.2520325203252,
05353,HISPANIA,4950,427,796,46.231155778894475,33.27272727272727,37,56.75675675675676,16,28,10.714285714285714,252.95454545454547,49.21212121212121,53.984848484848484,132,66.0,,-7.488970588235304,HISPANIA,-75.906587,5.799461,46.482412060301506,20.100502512562816,65.57377049180329,10.525600977862283
05360,ITAGUI,263332,18901,43173,49.52864058555115,10.118025914055261,17,41.17647058823529,48,0,,257.03501518731014,51.16613229834627,54.90237934525818,11852,1975.3333333333333,10.305212133461424,-9.10827929323088,ITAGUI,-75.612056,6.175079,0.39376462140689783,1.1118059898547703,0.0,-8.352169997315862
05361,ITUANGO,23784,2168,4306,40.664189503019045,72.04423141607803,1,100.0,4,228,40.78947368421053,206.08286252354048,41.32015065913371,44.31638418079096,1062,531.0,,-2.1386924787591965,ITUANGO,-75.764673,7.171629,0.23223409196470043,0.9289363678588017,105.16605166051662,59.335810496980955
05364,JARDIN,13541,1099,2152,46.14312267657992,47.22694040321985,95,60.0,59,68,13.23529411764706,250.4306049822064,50.83985765124555,53.430604982206404,562,281.0,,-10.004315158899402,JARDIN,-75.818982,5.597542,44.14498141263941,27.416356877323423,61.874431301182895,13.856877323420079
05368,JERICO,11257,892,1656,50.48309178743962,37.78981966776228,2,50.0,4,47,4.25531914893617,246.34069400630915,50.22397476340694,52.77917981072555,634,317.0,,-3.528732394366216,JERICO,-75.785499,5.789748,1.2077294685990339,2.4154589371980677,52.690582959641254,-0.4830917874396192
05376,LA CEJA,59386,4829,10244,49.160484185864895,12.91718586872327,339,59.29203539823009,248,33,0.0,265.5110477548111,54.988952245188884,55.451532430506056,2806,561.2,-16.706460449216024,-1.1500721456104657,LA CEJA,-75.429433,6.028062,33.09254197579071,24.209293244826238,6.83371298405467,10.131551212365196
05380,LA ESTRELLA,67881,5005,11158,48.96038716615881,14.24257155905187,2,100.0,2,31,6.451612903225806,276.6694190504276,56.01533470952521,58.24417575936302,3391,484.42857142857144,55.8566982467963,-10.546725174032929,LA ESTRELLA,-75.637708,6.145238,0.1792435920415845,0.1792435920415845,6.193806193806194,51.03961283384119
05390,LA PINTADA,7974,739,1542,47.85992217898833,11.512415349887133,2,50.0,3,79,2.5316455696202533,229.94630872483222,47.12080536912752,49.033557046979865,298,149.0,,-1.0989545782263974,LA PINTADA,-75.60781,5.743808,1.297016861219196,1.9455252918287937,106.90121786197564,2.1400778210116727
05400,LA UNION,20769,1902,3832,49.34759916492693,39.539698589243585,132,53.78787878787878,61,60,35.0,249.34034416826003,52.23900573613767,52.4321223709369,1046,523.0,35.36949648711945,-15.518027634465994,LA UNION,-75.360874,5.973845,34.44676409185804,15.918580375782883,31.545741324921135,4.440279622951849
05411,LIBORINA,7928,701,1249,46.75740592473979,72.12411705348133,9,88.88888888888889,9,118,12.711864406779661,214.35666666666665,43.11,46.693333333333335,600,300.0,,0.4246094277609984,LIBORINA,-75.812838,6.677316,7.205764611689352,7.205764611689352,168.33095577746076,42.13148296414909
05425,MACEO,7297,609,1142,47.8984238178634,59.28463752226942,8,87.5,6,95,4.2105263157894735,230.4247311827957,47.545698924731184,49.18279569892473,372,124.0,,-11.625471698113216,MACEO,-74.78716,6.552116,7.005253940455342,5.253940455341506,155.99343185550083,39.6015761821366
05440,MARINILLA,55230,4755,10076,49.82135768161969,26.080028969762807,173,65.89595375722543,42,44,20.454545454545457,258.49545454545455,52.94675324675325,54.69805194805195,3080,1540.0,22.241179138321996,-16.634203414855477,MARINILLA,-75.339345,6.173995,17.169511710996428,4.168320762207225,9.253417455310199,16.07459607560574
05467,MONTEBELLO,5881,490,848,46.4622641509434,71.96055092671314,2,100.0,4,21,33.33333333333333,226.74193548387098,46.25806451612903,48.038709677419355,310,155.0,,-8.99983344437041,MONTEBELLO,-75.523455,5.946313,2.3584905660377355,4.716981132075471,42.857142857142854,53.5377358490566
05475,MURINDO,4642,513,896,47.544642857142854,66.28608358466178,1,0.0,1,75,18.666666666666668,187.22222222222223,35.2962962962963,40.925925925925924,54,27.0,,-11.40789473684211,MURINDO,-76.817485,6.97771,1.1160714285714286,1.1160714285714286,146.19883040935673,-47.544642857142854
05480,MUTATA,12607,1366,2429,48.45615479621243,60.67264218291425,23,65.21739130434783,13,142,53.52112676056338,211.2173913043478,42.494202898550725,46.142028985507245,690,230.0,,1.3953121577218042,MUTATA,-76.435875,7.242875,9.468917249897077,5.351996706463565,103.95314787701318,16.761236508135397
05483,NARINO,8603,887,1452,48.89807162534435,68.09252586307102,16,68.75,16,89,64.04494382022472,218.98285714285714,43.885714285714286,46.84,350,175.0,,-7.037621359223294,NARINO,-75.176262,5.610777,11.019283746556475,11.019283746556475,100.33821871476889,19.85192837465565
05490,NECOCLI,38420,4324,7396,49.58085451595457,74.1124414367517,118,55.08474576271186,123,205,54.146341463414636,205.01443569553805,41.17060367454068,44.62007874015748,3048,1524.0,,-4.188430808565016,NECOCLI,-76.787271,8.434526,15.954570037858302,16.63061114115738,47.40980573543016,5.503891246757291
05495,NECHI,24066,2494,4355,48.33524684270953,45.96110695587136,24,70.83333333333334,35,274,27.73722627737226,207.9762202753442,41.73967459324155,45.51439299123905,799,266.3333333333333,-33.67165991902834,-17.881924238645496,NECHI,-74.77647,8.094129,5.510907003444316,8.036739380022961,109.86367281475542,22.498086490623812
05501,OLAYA,2719,234,421,46.55581947743468,93.19602795145275,6,83.33333333333334,4,0,,238.71212121212122,48.86363636363637,52.196969696969695,132,66.0,,3.0969245107175993,OLAYA,-75.811773,6.626492,14.251781472684087,9.501187648456057,0.0,36.77751385589866
05541,PENOL,18010,1490,2976,50.201612903225815,38.895058300943916,38,52.63157894736842,19,73,12.32876712328767,239.43259557344064,49.57142857142857,50.19718309859155,994,497.0,,-14.988496732026135,PENOL,-75.242693,6.219349,12.768817204301076,6.384408602150538,48.993288590604024,2.4299660441426028
05543,PEQUE,7155,770,1376,43.82267441860465,70.73375262054508,2,0.0,2,122,51.63934426229508,217.04242424242423,43.25454545454546,47.654545454545456,330,165.0,,-4.205427531837472,PEQUE,-75.910357,7.021029,1.4534883720930232,1.4534883720930232,158.44155844155844,-43.82267441860465
05576,PUEBLORRICO,7202,675,1191,48.698572628043664,47.13968342127187,8,75.0,3,33,0.0,228.01951219512196,45.082926829268295,48.72195121951219,410,205.0,,-8.811606632361332,PUEBLORRICO,-75.839903,5.79158,6.717044500419815,2.5188916876574305,48.88888888888889,26.301427371956336
05579,PUERTO BERRIO,36801,3314,6460,47.05882352941176,14.564821608108474,268,62.31343283582089,224,142,6.338028169014084,217.3562091503268,43.98257080610022,47.4041394335512,1836,918.0,84.81519489479132,-10.945627413127426,PUERTO BERRIO,-74.410016,6.487028,41.48606811145511,34.6749226006192,42.84852142426071,15.25460930640913
05585,PUERTO NARE,12161,1055,1807,47.98007747648035,67.97960694021873,10,60.0,8,330,12.121212121212121,219.93248945147678,44.78481012658228,47.244725738396625,474,237.0,,-11.712718985899443,PUERTO NARE,-74.583012,6.186025,5.534034311012728,4.427227448810182,312.7962085308057,12.019922523519647
05591,PUERTO TRIUNFO,17231,1522,3271,43.90094772240905,83.12344031106727,3,33.33333333333333,2,82,8.536585365853659,244.4962962962963,50.55925925925926,51.65555555555556,540,270.0,,-4.807958965109066,PUERTO TRIUNFO,-74.64119,5.871318,0.9171507184347294,0.6114338122898196,53.87647831800263,-10.567614389075722
05604,REMEDIOS,22530,2248,4245,49.42285041224971,50.6347092765202,72,76.38888888888889,41,277,18.772563176895307,208.01015965166908,41.943396226415096,46.16400580551524,1378,689.0,-26.047965116279073,-8.356972817361452,REMEDIOS,-74.698135,7.029424,16.96113074204947,9.65842167255595,123.22064056939503,26.966038476639177
05607,RETIRO,20700,1493,3107,48.59993562922433,41.09661835748793,54,57.407407407407405,18,27,22.22222222222222,281.7111650485437,57.8373786407767,57.89563106796116,1236,176.57142857142858,85.70794301327086,-25.06086499699802,RETIRO,-75.501301,6.062454,17.380109430318637,5.793369810106212,18.08439383791025,8.807471778183071
05615,RIONEGRO,116400,9266,19931,47.54402689278009,33.45103092783505,498,58.43373493975904,618,0,,258.4699438202247,52.71544943820225,54.46432584269663,7120,3560.0,34.98856199772604,-6.929330948121674,RIONEGRO,-75.377316,6.147148,24.986202398274045,31.006974060508753,0.0,10.889708046978953
