COD_DANE,NOMBRE_MUNI,TIPOLOGIA,CLUSTER,INDICE_BRECHA,POB_15_19,PCT_RURAL,TASA_MATRIC_VIVE,TASA_BENEF,PROM_GLOBAL_SABER,BRECHA_GENERO_MATRIC
05890,YOLOMBO,C2 · alta % rural y baja Saber 11 global,1,79.9,1785,67.51709626512363,3.8289725590299937,109.24369747899159,211.2716049382716,43.16634758562007
05591,PUERTO TRIUNFO,C2 · alta % rural y baja Saber 11 global,1,79.8,1522,83.12344031106727,0.9171507184347294,53.87647831800263,244.4962962962963,-10.567614389075722
05051,ARBOLETES,C2 · alta % rural y baja Saber 11 global,1,79.3,2816,63.39533645250866,6.4047822374039285,60.01420454545455,213.6445846477392,12.220324508966698
05282,FREDONIA,C2 · alta % rural y baja Saber 11 global,1,79.3,1475,58.83448642895157,0.3598416696653472,14.915254237288137,228.4691629955947,52.069089600575744
05138,CANASGORDAS,C2 · alta % rural y baja Saber 11 global,1,79.2,1307,64.95034939315924,2.0885547201336676,88.75286916602907,218.38202247191012,10.459482038429407
05659,SAN JUAN DE URABA,C2 · alta % rural y baja Saber 11 global,1,79.1,2279,66.86674669867946,8.374771002355404,66.69591926283458,212.77480916030535,7.493130070662133
05120,CACERES,C2 · alta % rural y baja Saber 11 global,1,78.7,2940,80.1058201058201,17.365853658536587,51.02040816326531,214.5730427764326,9.943984653329679
05543,PEQUE,C2 · alta % rural y baja Saber 11 global,1,78.2,770,70.73375262054508,1.4534883720930232,158.44155844155844,217.04242424242423,-43.82267441860465
05209,CONCORDIA,C2 · alta % rural y baja Saber 11 global,1,78.2,1556,57.72600186393289,1.7869907076483202,79.69151670951156,216.99287410926365,10.07147962830593
05240,EBEJICO,C2 · alta % rural y baja Saber 11 global,1,78.2,856,82.25962468562584,0.0,195.09345794392524,225.57201646090536,
05873,VIGIA DEL FUERTE,C2 · alta % rural y baja Saber 11 global,1,78.1,988,61.99778842609657,1.8072289156626506,248.98785425101212,190.42410714285714,19.377510040160637
05670,SAN ROQUE,C2 · alta % rural y baja Saber 11 global,1,77.8,1617,65.38331834532374,1.0073875083948958,110.69882498453927,222.61511423550087,-14.11461831206627
05628,SABANALARGA,C2 · alta % rural y baja Saber 11 global,1,77.0,801,63.29631048129708,2.6542800265428004,112.35955056179775,219.93129770992365,2.3556735235567317
05861,VENECIA,C2 · alta % rural y baja Saber 11 global,1,76.5,854,53.540856031128406,1.935483870967742,57.37704918032787,223.10384615384615,19.698924731182785
05079,BARBOSA,C1 · alta Saber 11 global y baja % rural,0,76.3,3742,51.78631275554662,0.13217023526301877,5.077498663816141,235.33273381294964,-48.784033835580225
05411,LIBORINA,C2 · alta % rural y baja Saber 11 global,1,76.0,701,72.12411705348133,7.205764611689352,168.33095577746076,214.35666666666665,42.13148296414909
05059,ARMENIA,C2 · alta % rural y baja Saber 11 global,1,75.9,301,64.41476826394344,0.0,0.0,251.65822784810126,
05480,MUTATA,C2 · alta % rural y baja Saber 11 global,1,75.6,1366,60.67264218291425,9.468917249897077,103.95314787701318,211.2173913043478,16.761236508135397
05145,CARAMANTA,C2 · alta % rural y baja Saber 11 global,1,75.4,334,54.41555399390958,0.0,74.8502994011976,228.76923076923077,
05004,ABRIAQUI,C2 · alta % rural y baja Saber 11 global,1,75.2,212,67.20704029643353,0.0,117.9245283018868,235.38636363636363,
05809,TITIRIBI,C2 · alta % rural y baja Saber 11 global,1,75.2,677,51.26262626262626,0.0,36.92762186115214,233.22935779816513,
05284,FRONTINO,C2 · alta % rural y baja Saber 11 global,1,75.1,1999,59.87795197459813,0.550357732526142,62.531265632816414,237.0185185185185,2.146395156851952
