SEDE,FACULTAD,NOMBRE_MUNI_VIVE,PROGRAMA,PROB_RIESGO,DECIL_RIESGO
CAUCASIA,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,CAUCASIA,MATEMATICAS - CAUCASIA,0.981,10
MEDELLIN,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9808,10
CARMENVI,FACULTAD DE CIENCIAS FARMACEUTICAS Y ALIMENTARIAS,LA CEJA,CIENCIAS CULINARIAS - CARMEN DE VIBORAL,0.9806,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE SISTEMAS - REGION,0.9805,10
CARMENVI,FACULTAD DE CIENCIAS AGRARIAS,EL CARMEN DE VIBORAL,INGENIERIA AGROPECUARIA - CARMEN DE VIBORAL,0.9805,10
MEDELLIN,FACULTAD DE INGENIERIA,ACANDI,INGENIERIA DE TELECOMUNICACIONES REGION,0.9804,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA CIVIL-APARTADO,0.98,10
CARMENVI,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,RIONEGRO,BIOLOGIA - CARMEN DE VIBORAL,0.9798,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA AGROINDUSTRIAL-URABA,0.9792,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9791,10
SONSON,FACULTAD DE COMUNICACIONES Y FILOLOGIA,BELLO,COMUNICACION SOCIAL - PERIODISMO SONSON,0.9787,10
CAREPA,FACULTAD DE INGENIERIA,NECOCLI,INGENIERIA BIOQUIMICA-URABA,0.9787,10
MEDELLIN,FACULTAD DE INGENIERIA,MEDELLIN,INGENIERIA DE SISTEMAS - REGION,0.9786,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA INDUSTRIAL REGION,0.9785,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE SISTEMAS - REGION,0.9783,10
MEDELLIN,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA DE SISTEMAS - REGION,0.9776,10
CAUCASIA,INSTITUTO UNIVERSITARIO DE EDUCACION FISICA Y DEPORTES,BUENAVISTA,LICENCIATURA EN EDUCACION FISICA - CAUCASIA,0.9776,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9775,10
CAUCASIA,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,CAUCASIA,MATEMATICAS - CAUCASIA,0.9772,10
CARMENVI,FACULTAD DE CIENCIAS FARMACEUTICAS Y ALIMENTARIAS,RIONEGRO,INGENIERIA DE ALIMENTOS - CARMEN DE VIBORAL,0.977,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA AGROINDUSTRIAL-URABA,0.9763,10
MEDELLIN,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA DE SISTEMAS - REGION,0.9758,10
MEDELLIN,FACULTAD DE INGENIERIA,MONTERIA,INGENIERIA INDUSTRIAL REGION,0.9758,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA INDUSTRIAL REGION,0.9752,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE SISTEMAS - REGION,0.975,10
CAREPA,FACULTAD DE CIENCIAS AGRARIAS,APARTADO,INGENIERIA AGROPECUARIA-CAREPA,0.9749,10
